Merged Gene_ID,median_z,mad_z,max_fdr,symbol
ENSG00000055332,-8.289833102843556,0.03242843692991837,0.001,EIF2AK2
ENSG00000186185,-8.030524408252436,0.544297542485618,0.001,KIF18B
ENSG00000057657,-7.127152877932714,0.5195193730618288,0.001,PRDM1
ENSG00000128383,-7.030102165495386,0.08183782997293454,0.001,APOBEC3A
ENSG00000123080,-7.01737804740784,0.44999379850300647,0.001,CDKN2C
ENSG00000124762,-7.012502135569166,0.45148421204152767,0.001,CDKN1A
ENSG00000120889,-6.799594142268704,0.8833077731266505,0.001,TNFRSF10B
ENSG00000104689,-6.461113277137951,0.7121388736918792,0.001,TNFRSF10A
ENSG00000067066,-6.377602273049005,0.5484899346972072,0.001,SP100
ENSG00000142731,-6.1011405000634475,0.8367686422411538,0.001,PLK4
ENSG00000173376,-5.7941247479210345,0.41654954531931043,0.001,NDNF
ENSG00000075391,-5.52536357496196,0.5089682094728012,0.001,RASAL2
